'year_id','year'
'40',1840
'41',1841
'42',1842
'43',1843
'44',1844
'45',1845
'46',1846
'47',1847
'48',1848
'49',1849
'50',1850
'51',1851
'52',1852
'53',1853
'54',1854
'55',1855
'56',1856
'57',1857
'58',1858
'59',1859
'60',1860
'61',1861
'62',1862
'63',1863
'64',1864
'65',1865
'66',1866
'67',1867
'68',1868
'69',1869
'70',1870
'71',1871
'72',1872
'73',1873
'74',1874
'75',1875
'76',1876
'77',1877
'78',1878
'79',1879
'80',1880
'81,1881
'82',1882
'83',1883
'84',1884
'85',1885
'86',1886
'87',1887
'88',1888
'89',1889
'90',1890
'91',1891
'92',1892
'93',1893
'94',1894
'95',1895
'96',1896
'97',1897
'98',1898
'99',1899
'00',1900
'01',1901
'02',1902
'03',1903
'04',1904
'05',1905
'06',1906
'07',1907
'08',1908
'09',1909
'10',1910
'11',1911
'12',1912
'13',1913
'14',1914
'15',1915
'16',1916
'17',1917
'18',1918
'19',1919
'20',1920
'21',1921
'22',1922
'23',1923
'24',1924
'25',1925
'26',1926
'27',1927
'28',1928
'29',1929
'30',1930
'31',1931
'32',1932
'33',1933
'34',1934
'35',1935
'36',1936
'37',1937
'38',1938
'39',1939
'40',1940