'local_faction_id','place_id','local_faction'
'__','__','sin especificar'
'01','MO','partidarios de Patricio Leyva'
'02','MO','partidarios de los Figueroa'
'03','OA','partidarios de González'
'04','OA','partidarios de Benito Juárez Maza'
'05','OA','“serranos”: partidarios de Félix Díaz'
'06','TB','miembros de la Liga Democrática (abril de 1911)'
'07','TB','partido “azul”: Luis Felipe Domínguez (región de Los Ríos)'
'08','TB','partido “rojo”: Carlos Greene (región de La Chontalpa)'
'09','CP','mapaches de Adalberto Pineda'
'10','YU','partidarios de Francisco Cantón'
'11','YU','partidarios de Olegario Molina'
'12','CP','partido de San Cristóbal Las Casas'
'13','CP','partido de Tuxtla Gutiérrez'
'14','PU','grupo de Aquiles Serdán'
'15','PU','antirreeleccionistas no unidos a Serdán'
'16','HU','partidarios del general Peláez'
'17','CO','tropas de Jesús Carranza'
'18','CO','tropas de Pablo González'
'19','CO','tropas de Jesús Agustin Castro (Zlº Cuerpo Rural)'
'20','TA','tropas de Lucio Blanco'
'21','ZA','tropas de Pánfilo Natera'
'24','CP','mapaches'
'25','CH','partidarios de Ángel Trias (antiterrazistas)'
'26','YU','partido socialista yucateco (Salvador Alvarado)'
'27','PU','serranos (Méndez, Lucas, Bonilla)'
'28','PU','llaneros (Couttolenne's)