'school_id','place_id','school'
'01','MI','Colegio San Nicolás (Morelia)'
'03','CO','Ateneo Fuente (Saltillo)'
'04','SL','Instituto Científico y Literario (San Luis Potosí)'
'05','PU','Colegio del Estado (Puebla)'
'06','DU','Instituto Juárez (Durango)'
'07','CA','Instituto Campechano (Campeche)'
'08','CH','Instituto Científico y Literario (Chihuahua)'
'09','DF','Escuela Nacional Agraria de San Jacinto (C. de México)'
'10','ZA','Instituto de Ciencias (Zacatecas)'
'11','OA','Instituto de Ciencias y Artes (Oaxaca)'
'12','SI','Colegio Rosales (Culiacán)'
'13','DF','Escuela Nacional Preparatoria (C. de México)'
'14','DF','Escuela Nacional de Jurisprudencia (C. de México)'
'15','DF','Colegio de San Ildefonso (C. de Méxivo) (después E. N. Preparatoria)'
'16','VE','Escuela Normal (Jalapa)'
'17','JA','Liceo de Varones (Guadalajara)'
'18','YU','Instituto Literario (Mérida)'
'19','HI','Instituto Científico y Literario (Pachuca)'
'20','JA','Escuela de Jurisprudencia (Guadalajara)'
'21','CP','Instituto de Ciencias y Artes (San Cristóbal)'
'22','MI','Seminario Conciliar (Morelia)'
'23','DF','Escuela de Medicina (C. de México)'
'24','DF','Instituto Científico y Literario (Toluca)'
'25','DF','Colegio Militar (C. de México)'
'26','DF','Escuela Libre de Derecho (C. de México)'
'27','DF','Escuela Libre de Derecho (C. de México)'
'28','GT','Colegio del Estado (Guanajuato)'
'29,'PU','Escuela Normal de Profesores (Puebla)'
'30','DF','Escuela Nacional de Aspirantes (México)'
'31','SO','Colegio de Sonora (Hermosillo)'
'32','DF','Escuela Normal (México)'
'33','QU','Colegio Civil (Querétaro)'
'34','TB','Instituto Juárez (San Juan Bautista)'