'political_position_id','political_position'
'_','sin especificar'
'1','jefe de irregulares'
'2','presidente municipal'
'3','prefecto o jefe político'
'4','representante, delegado'
'5','tesorero general del Estado'
'6','diputado de la legislatura local'
'7','comisario'
'8','otro cargo municipal'
'9','dirigente de un sindicato'
'A','inspector de policía'
'B','jefe de guarnición'
'C','puesto judicial'
'D','puesto en la administración el Estado'
'E','puesto federal en México'
'F','puesto federal en un Estado'