'collective_event_id','collective_event'
'1','levantamiento armado'
'2','diario de oposición'
'3','miembros o sección de un partido político'
'4','sindicato o sociedad obrera'
'5','ciudad atacada por...'
'6','protesta contra autoridades municipales'
'7','protesta contra monopolio comercial'
'8','ciudad tomada por...'
'9','club político'
'A','candidato de oposición'
'B','manifestación'
'C','huelga'
'D','se convierte en pueblo, municipio o sección municipal'
'E','resistencia armada, disturbios'
'F','otro'